districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare
9;Pardubickı;5;Kysilka Miloš;27;LEV 21;LEV 21;5;3,16
9;Pardubickı;6;Stein Václav;47;LEV 21;LEV 21;1;0,63
9;Pardubickı;7;Maøík Jakub;26;LEV 21;LEV 21;2;1,26
9;Pardubickı;8;Hunka Jan;34;LEV 21;LEV 21;3;1,89
9;Pardubickı;9;Kaltoun Ondøej;35;LEV 21;LEV 21;7;4,43
9;Pardubickı;10;Rùièková Iveta;45;LEV 21;BEZPP;1;0,63
9;Pardubickı;11;Povıšil Martin;42;LEV 21;BEZPP;1;0,63
9;Pardubickı;12;Èierny Tomáš;22;LEV 21;LEV 21;0;0
9;Pardubickı;13;Drahoòovská Tereza;23;LEV 21;BEZPP;2;1,26
9;Pardubickı;14;Prudil Slavomil;81;LEV 21;LEV 21;3;1,89
9;Pardubickı;15;Povıšilová Lenka;46;LEV 21;BEZPP;0;0
9;Pardubickı;16;Vondroušová Jana;61;LEV 21;LEV 21;0;0
9;Pardubickı;17;Kováø Lukáš;31;LEV 21;BEZPP;3;1,89
9;Pardubickı;18;Dostál Josef;49;LEV 21;BEZPP;2;1,26
9;Pardubickı;19;Bubák Luboš;32;LEV 21;BEZPP;2;1,26
10;Vysoèina;1;Petrák Jan;53;LEV 21;LEV 21;23;14,46
10;Vysoèina;2;Bokšay Jan;61;LEV 21;LEV 21;7;4,4
10;Vysoèina;3;Hron Jiøí;51;LEV 21;LEV 21;6;3,77
10;Vysoèina;4;Sláma Karel;22;LEV 21;LEV 21;5;3,14
10;Vysoèina;5;Zápotoènı Zbynìk;56;LEV 21;BEZPP;7;4,4
10;Vysoèina;6;Minutello Giovanna;48;LEV 21;BEZPP;3;1,88
10;Vysoèina;7;Bureš Lubomír;39;LEV 21;LEV 21;2;1,25
10;Vysoèina;8;Kabelková Jana;42;LEV 21;LEV 21;5;3,14
10;Vysoèina;9;Vejvodová Eva;58;LEV 21;BEZPP;4;2,51
10;Vysoèina;10;váèek Jiøí;37;LEV 21;LEV 21;2;1,25
10;Vysoèina;11;Trojánek Ludìk;39;LEV 21;LEV 21;1;0,62
10;Vysoèina;12;Fuks Michael;58;LEV 21;BEZPP;2;1,25
10;Vysoèina;13;Adamec Václav;37;LEV 21;BEZPP;1;0,62
10;Vysoèina;14;Kocmánek Roman;38;LEV 21;BEZPP;5;3,14
10;Vysoèina;15;Bokšay Jan;21;LEV 21;BEZPP;2;1,25
10;Vysoèina;16;Hutaø Vlastimil;45;LEV 21;BEZPP;5;3,14
10;Vysoèina;17;Carda Ludvík;29;LEV 21;LEV 21;4;2,51
10;Vysoèina;18;Schaefer Milan;77;LEV 21;LEV 21;1;0,62
10;Vysoèina;19;Èech Jan;41;LEV 21;LEV 21;4;2,51
10;Vysoèina;20;Severinová Jindøiška;81;LEV 21;BEZPP;1;0,62
11;Jihomoravskı;1;Palša Stanislav;45;LEV 21;LEV 21;24;9,23
11;Jihomoravskı;2;Michek Petr;39;LEV 21;LEV 21;6;2,3
11;Jihomoravskı;3;Müller Roman;35;LEV 21;LEV 21;8;3,07
11;Jihomoravskı;4;Ambros Martin;40;LEV 21;BEZPP;6;2,3
11;Jihomoravskı;5;Èíhal Martin;37;LEV 21;LEV 21;4;1,53
11;Jihomoravskı;6;Studenı Milan;45;LEV 21;BEZPP;5;1,92
11;Jihomoravskı;7;Geidl Alois;44;LEV 21;LEV 21;3;1,15
11;Jihomoravskı;8;Jelínek Lukáš;29;LEV 21;BEZPP;13;5
11;Jihomoravskı;9;Hruška Tomáš;44;LEV 21;LEV 21;6;2,3
11;Jihomoravskı;10;Skalníková Lucie;44;LEV 21;LEV 21;4;1,53
11;Jihomoravskı;11;Poláèek Tomáš;27;LEV 21;BEZPP;3;1,15
11;Jihomoravskı;12;Hodajn Patrik;35;LEV 21;LEV 21;3;1,15
11;Jihomoravskı;13;Vejmelková Ludmila;61;LEV 21;BEZPP;3;1,15
11;Jihomoravskı;14;Gregoroviè Josef;64;LEV 21;LEV 21;3;1,15
11;Jihomoravskı;15;Valenta Marek;38;LEV 21;LEV 21;4;1,53
11;Jihomoravskı;16;Lang Tomáš;28;LEV 21;LEV 21;0;0
11;Jihomoravskı;17;Jaroš Jan;36;LEV 21;LEV 21;0;0
11;Jihomoravskı;18;Jelínková Dana;52;LEV 21;BEZPP;12;4,61
11;Jihomoravskı;19;Zugar Miroslav;39;LEV 21;LEV 21;5;1,92
11;Jihomoravskı;20;Hofírková Veronika;31;LEV 21;BEZPP;7;2,69
11;Jihomoravskı;21;Valentová Michaela;34;LEV 21;LEV 21;4;1,53
11;Jihomoravskı;22;Kaválek Michal;32;LEV 21;BEZPP;2;0,76
11;Jihomoravskı;23;Küfhaber Martin;43;LEV 21;BEZPP;8;3,07
11;Jihomoravskı;24;Hanzel Martin;28;LEV 21;BEZPP;7;2,69
11;Jihomoravskı;25;Sprungová Vlasta;66;LEV 21;LEV 21;0;0
11;Jihomoravskı;26;Valenta Petr;33;LEV 21;LEV 21;6;2,3
11;Jihomoravskı;27;Kašpárek David;38;LEV 21;LEV 21;4;1,53
11;Jihomoravskı;28;Hlásenskı Ivan;26;LEV 21;LEV 21;1;0,38
11;Jihomoravskı;29;Nováková Anna;24;LEV 21;BEZPP;3;1,15
11;Jihomoravskı;30;Koláøová Renata;47;LEV 21;BEZPP;0;0
11;Jihomoravskı;31;Kostík Zdenìk;35;LEV 21;LEV 21;0;0
11;Jihomoravskı;32;Kováø Lubomír;68;LEV 21;LEV 21;0;0
11;Jihomoravskı;33;Èernická Dana;54;LEV 21;LEV 21;0;0
11;Jihomoravskı;34;Plachá Jitka;47;LEV 21;BEZPP;3;1,15
12;Olomouckı;1;Bruk Vilém;54;LEV 21;LEV 21;8;3,55
12;Olomouckı;2;Sníek Jakub;35;LEV 21;LEV 21;14;6,22
12;Olomouckı;3;Krybus Vojtìch;40;LEV 21;LEV 21;6;2,66
12;Olomouckı;4;Sníek Milan;69;LEV 21;LEV 21;30;13,33
12;Olomouckı;5;Šuranskı Pavel;44;LEV 21;BEZPP;16;7,11
12;Olomouckı;6;Dopitová Veronika;26;LEV 21;LEV 21;5;2,22
12;Olomouckı;7;Steiger Jan;57;LEV 21;BEZPP;3;1,33
12;Olomouckı;8;Balvínová Marcela;41;LEV 21;LEV 21;4;1,77
12;Olomouckı;9;Geduš Karel;45;LEV 21;LEV 21;5;2,22
12;Olomouckı;10;Skopal Jaroslav;77;LEV 21;BEZPP;4;1,77
12;Olomouckı;11;Šimíèek Jindøich;28;LEV 21;LEV 21;9;4
12;Olomouckı;12;Vaníèková Marta;40;LEV 21;LEV 21;3;1,33
12;Olomouckı;13;Balvín Petr;42;LEV 21;LEV 21;6;2,66
12;Olomouckı;14;Palovèík Jozef;50;LEV 21;LEV 21;11;4,88
12;Olomouckı;15;Juraèka Petr;34;LEV 21;LEV 21;5;2,22
12;Olomouckı;16;Veleckı Petr;33;LEV 21;LEV 21;9;4
12;Olomouckı;17;Jorda František;61;LEV 21;BEZPP;0;0
12;Olomouckı;18;Lukuvka Petr;31;LEV 21;BEZPP;2;0,88
12;Olomouckı;19;Zbranek Martin;30;LEV 21;BEZPP;1;0,44
12;Olomouckı;20;Güntnerová Jana;57;LEV 21;BEZPP;0;0
12;Olomouckı;21;Cehelskı Petr;42;LEV 21;BEZPP;4;1,77
12;Olomouckı;22;Jordová Ludmila;61;LEV 21;BEZPP;2;0,88
12;Olomouckı;23;Straka Zdenìk;38;LEV 21;BEZPP;3;1,33
13;Zlínskı;1;Spáèil Ivo;47;LEV 21;LEV 21;6;3,57
13;Zlínskı;2;Hoøèicová Marie;56;LEV 21;LEV 21;17;10,11
13;Zlínskı;3;Franc Petr;30;LEV 21;LEV 21;4;2,38
13;Zlínskı;4;Doèkal Pavel;52;LEV 21;LEV 21;5;2,97
13;Zlínskı;5;Horák Pavel;64;LEV 21;LEV 21;6;3,57
13;Zlínskı;6;Èervenı František;67;LEV 21;BEZPP;2;1,19
13;Zlínskı;7;Adamec Dalibor;31;LEV 21;LEV 21;2;1,19
13;Zlínskı;8;Brázdil Josef;50;LEV 21;LEV 21;2;1,19
13;Zlínskı;9;Brùièka Jaroslav;29;LEV 21;LEV 21;1;0,59
13;Zlínskı;10;Skalník Josef;85;LEV 21;LEV 21;3;1,78
13;Zlínskı;11;Brùièka Vladimír;57;LEV 21;BEZPP;0;0
13;Zlínskı;12;Holomel Tomáš;22;LEV 21;LEV 21;7;4,16
13;Zlínskı;13;Hlavièka Jindøich;31;LEV 21;LEV 21;4;2,38
13;Zlínskı;14;Solanskı Vojtìch;28;LEV 21;LEV 21;1;0,59
13;Zlínskı;15;Novotnı Zdenìk;37;LEV 21;LEV 21;12;7,14
13;Zlínskı;16;Tomšù Filip;30;LEV 21;LEV 21;1;0,59
13;Zlínskı;17;Zach Jakub;29;LEV 21;LEV 21;0;0
13;Zlínskı;18;Novosadová Anna;59;LEV 21;LEV 21;12;7,14
13;Zlínskı;19;Navrátil David;30;LEV 21;LEV 21;1;0,59
13;Zlínskı;20;Dittrich Jaroslav;28;LEV 21;LEV 21;5;2,97
13;Zlínskı;21;Šulák František;65;LEV 21;BEZPP;9;5,35
13;Zlínskı;22;Kocurková Jana;73;LEV 21;LEV 21;4;2,38
14;Moravskoslezskı;1;Jeek Milan;54;LEV 21;LEV 21;16;3,76
14;Moravskoslezskı;2;Lasáková Vìra;60;LEV 21;LEV 21;18;4,23
14;Moravskoslezskı;3;Janeèková Ivana;41;LEV 21;LEV 21;10;2,35
14;Moravskoslezskı;4;Ferenc Marcel;38;LEV 21;LEV 21;20;4,7
14;Moravskoslezskı;5;Slívová Petra;36;LEV 21;LEV 21;37;8,7
